ENTIDAD,DISTRITO,MUNICIPIO,SECCION,POB_TOT,SEXO1,SEXO2,PEDAD,EDAD999,EDQUI01,EDQUI02,EDQUI03,EDQUI04,EDQUI05,EDQUI06,EDQUI07,EDQUI08,EDQUI09,EDQUI10,EDQUI11,EDQUI12,EDQUI13,EDQUI14,EDQUI15,EDQUI16,EDQUI17,EDQUI18,EDQUI19,EDQUI20,EDQUI21,EDQUI99,IMSS1,ISSSTE1,PEMEX1,SEGU_POP1,INST_PRI1,OTRA_INS1,OTRA_INS3,OTRA_INS9,SIN_DERE6,SIN_DERE9,LRE200001,LRE200002,LRE200003,LRE200004,LRE200005,LRE200006,LRE200007,LRE200008,LRE200009,LRE200010,LRE200011,LRE200012,LRE200013,LRE200014,LRE200015,LRE200016,LRE200017,LRE200018,LRE200019,LRE200020,LRE200021,LRE200022,LRE200023,LRE200024,LRE200025,LRE200026,LRE200027,LRE200028,LRE200029,LRE200030,LRE200031,LRE200032,LRE200033,LRE2000201,LRE2000600,LRE2000999,ASIS_ESC2,ASIS_ESC9,ALFABET1,ALFABET2,ALFABET9,NIVANTES00,NIVANTES10,NIVANTES20,NIVANTES30,NIVANTES40,NIVANTES51,NIVANTES52,NIVANTES61,NIVANTES62,NIVANTES63,NIVANTES73,NIVANTES84,NIVANTES94,NIVANTES95,NIVANTES99,GRA_APRO1,GRA_APRO2,GRA_APRO3,GRA_APRO4,GRA_APRO5,GRA_APRO6,GRA_APRO7,GRA_APRO8,GRA_APRO9,NUHINAVI00,NUHINAVI01,NUHINAVI02,NUHINAVI03,NUHINAVI04,NUHINAVI05,NUHINAVI06,NUHINAVI07,NUHINAVI08,NUHINAVI09,NUHINAVI10,NUHINAVI11,NUHINAVI12,NUHINAVI13,NUHINAVI14,NUHINAVI15,NUHINAVI16,NUHINAVI17,NUHINAVI18,NUHINAVI19,NUHINAVI20,NUHINAVI21,NUHINAVI22,NUHINAVI23,NUHINAVI24,NUHINAVI25,NUHINAVI99,NUHISOB00,NUHISOB01,NUHISOB02,NUHISOB03,NUHISOB04,NUHISOB05,NUHISOB06,NUHISOB07,NUHISOB08,NUHISOB09,NUHISOB10,NUHISOB11,NUHISOB12,NUHISOB13,NUHISOB14,NUHISOB15,NUHISOB16,NUHISOB17,NUHISOB18,NUHISOB19,NUHISOB20,NUHISOB22,NUHISOB23,NUHISOB25,NUHISOB99,TAM_LOC01,TAM_LOC02,TAM_LOC03,TAM_LOC04,TAM_LOC05,TAM_LOC06,TAM_LOC07,TAM_LOC08,TAM_LOC09,TAM_LOC10,TAM_LOC11,TAM_LOC13,ESC_ACUM00,ESC_ACUM01,ESC_ACUM02,ESC_ACUM03,ESC_ACUM04,ESC_ACUM05,ESC_ACUM06,ESC_ACUM07,ESC_ACUM08,ESC_ACUM09,ESC_ACUM10,ESC_ACUM11,ESC_ACUM12,ESC_ACUM13,ESC_ACUM14,ESC_ACUM15,ESC_ACUM16,ESC_ACUM17,ESC_ACUM18,ESC_ACUM19,ESC_ACUM20,ESC_ACUM21,ESC_ACUM22,ESC_ACUM23,ESC_ACUM24,ESC_ACUM99,NIV_ESCO00,NIV_ESCO01,NIV_ESCO02,NIV_ESCO03,NIV_ESCO04,NIV_ESCO05,NIV_ESCO06,NIV_ESCO07,NIV_ESCO08,NIV_ESCO09,NIV_ESCO99,ANT_ESCO0,ANT_ESCO1,ANT_ESCO2,ANT_ESCO3,ANT_ESCO4,ANT_ESCO5,ANT_ESCO9,NOM_MUN
18,1,15,436,1203,579,624,31.24,3,116,111,105,127,104,78,82,73,84,74,62,50,40,32,29,17,9,4,1,1,1,3,525,78,1,367,22,0,0,0,208,6,0,6,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,1069,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,757,14,998,84,5,40,39,389,318,107,0,1,1,66,14,76,4,0,0,32,167,135,448,69,49,146,1,0,32,111,68,90,68,40,18,21,10,14,7,5,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,23,1,71,95,65,36,25,0,12,10,6,4,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1203,0,0,79,37,43,87,47,33,142,32,46,239,45,29,99,12,13,22,21,16,8,1,0,0,0,0,0,36,156,39,389,318,107,20,85,57,4,0,28,1037,1,67,87,4,0,7,SANTIAGO IXCUINTLA
18,1,15,439,486,249,237,36.04,3,31,36,66,47,37,22,28,36,42,35,25,21,8,12,16,13,5,1,2,0,0,3,269,38,0,64,12,0,0,0,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,297,7,425,22,8,13,10,148,117,64,0,1,0,32,11,48,0,1,0,10,51,47,202,34,32,63,0,0,13,56,32,34,32,14,4,8,9,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,32,35,32,15,6,0,9,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,23,9,7,34,19,17,60,14,17,86,18,18,60,1,5,21,14,15,3,0,0,1,0,0,0,13,44,10,148,117,64,4,43,45,0,1,10,393,0,33,59,1,0,0,SANTIAGO IXCUINTLA
18,1,15,442,1401,696,705,28.85,8,149,161,149,142,101,100,116,99,95,72,46,40,36,19,35,17,10,2,2,2,0,8,496,61,0,355,0,0,0,0,482,9,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,0,8,857,13,1114,130,8,74,66,448,390,107,0,0,0,55,12,62,1,0,0,37,190,156,525,69,63,160,1,0,14,142,60,77,112,40,30,11,9,5,5,8,4,6,1,3,2,1,0,0,0,0,0,0,0,0,0,5,2,59,81,116,41,29,0,13,7,6,5,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1401,0,0,140,47,57,94,53,41,156,36,60,294,31,28,103,10,6,15,16,21,5,1,0,0,0,0,0,38,223,66,448,390,107,11,88,54,1,0,13,1247,0,55,68,0,0,31,SANTIAGO IXCUINTLA
18,1,15,441,1183,609,574,28.9,10,125,122,100,107,111,111,86,66,73,62,68,42,31,28,15,9,12,1,3,1,0,10,349,72,1,368,8,0,0,0,394,12,0,9,3,0,0,0,0,0,0,2,0,0,1,7,0,0,0,1013,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,10,740,12,936,112,10,78,47,370,314,98,0,0,1,55,4,69,0,0,0,22,157,143,418,62,58,123,0,0,19,119,54,70,72,32,22,18,17,9,5,3,2,3,5,2,0,0,0,1,0,0,0,0,0,0,0,5,0,56,74,76,32,22,0,17,8,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1183,0,0,125,42,63,69,45,31,120,36,38,238,27,28,98,5,12,9,16,27,3,0,0,0,0,0,0,26,203,47,370,314,98,11,66,59,0,0,15,1047,1,55,70,0,0,10,SANTIAGO IXCUINTLA
18,1,15,437,2057,988,1069,30.19,8,205,224,214,208,128,139,189,169,145,111,90,62,36,43,36,27,15,6,2,0,0,8,1036,149,0,450,25,0,0,1,409,14,0,5,0,0,0,0,0,1,0,0,0,0,1,10,0,0,0,1812,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,6,0,9,1216,24,1698,146,8,62,83,569,513,243,0,1,2,123,20,189,5,1,0,41,296,219,776,126,135,206,0,1,31,207,124,154,157,53,23,18,8,10,7,7,4,6,2,2,0,1,0,0,0,0,0,0,0,1,0,15,2,125,159,156,54,23,0,9,11,7,7,2,4,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2057,0,0,145,59,79,104,65,62,200,57,58,398,63,68,232,29,13,33,57,78,6,0,1,0,0,0,0,45,267,83,569,513,243,31,157,161,5,1,27,1702,2,124,198,6,0,25,SANTIAGO IXCUINTLA
18,1,15,451,1283,627,656,31.4,1,134,116,143,128,110,88,84,92,60,73,56,52,52,34,26,17,9,5,3,0,0,1,587,41,0,310,6,0,0,0,339,8,0,7,2,0,0,0,0,0,0,0,0,1,0,7,0,1,0,1104,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,5,0,13,820,15,1021,116,12,76,31,436,340,87,0,5,2,60,7,72,0,0,0,33,124,154,434,56,74,189,3,0,39,117,70,79,78,40,34,19,18,10,8,4,2,1,2,3,0,2,1,0,0,0,0,0,0,0,0,27,0,73,88,77,40,40,0,17,9,5,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1280,0,0,107,31,57,83,38,47,180,33,43,257,23,44,82,8,9,12,14,27,9,3,0,0,0,0,0,42,210,31,436,340,87,14,71,64,0,0,30,1134,2,65,70,0,0,12,SANTIAGO IXCUINTLA
18,1,15,452,430,214,216,36.98,0,35,34,42,36,25,19,32,30,29,20,24,24,21,22,17,11,2,4,3,0,0,0,165,48,1,86,4,0,0,0,134,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,1,369,26,0,11,11,136,91,53,0,5,4,29,4,45,1,0,2,3,45,37,177,28,27,66,0,0,4,40,25,28,28,23,9,2,1,3,1,4,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,25,30,31,17,10,0,2,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,430,0,0,22,9,12,27,15,13,60,14,11,70,8,8,67,5,5,11,11,14,6,0,0,1,0,0,1,5,46,11,136,91,53,8,38,42,1,2,2,339,4,34,48,1,2,2,SANTIAGO IXCUINTLA
18,1,15,443,712,328,384,34.11,1,50,74,62,66,45,61,46,51,41,32,53,31,29,29,17,10,8,4,1,1,0,1,279,70,1,159,3,0,0,0,205,2,0,6,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,479,2,616,45,1,40,23,231,166,70,0,2,1,51,4,63,3,0,2,6,87,97,252,46,56,79,0,1,4,92,39,50,56,20,20,8,5,2,3,6,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,40,52,55,22,21,0,5,3,2,5,1,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,712,0,0,63,15,37,44,36,24,75,21,23,122,21,24,77,3,11,7,9,34,5,2,1,0,0,0,0,8,90,23,231,166,70,10,59,56,3,2,2,582,1,53,66,3,2,5,SANTIAGO IXCUINTLA
18,1,15,450,515,245,270,31.94,0,43,47,47,43,41,42,35,31,23,35,26,25,27,19,17,7,4,2,1,0,0,0,269,28,2,112,56,0,0,0,43,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,323,11,436,31,5,22,4,172,123,68,0,0,0,35,4,26,0,0,0,18,59,52,193,24,26,84,0,0,12,48,20,42,30,16,16,9,4,5,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,21,43,32,19,17,0,5,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,0,26,16,15,29,20,14,78,16,9,98,19,23,59,5,2,5,2,12,6,0,0,0,0,0,0,18,65,4,172,123,68,6,42,23,0,0,12,444,0,35,22,0,0,14,SANTIAGO IXCUINTLA
18,1,15,449,278,127,151,38.44,2,19,23,30,26,17,14,17,14,27,20,14,11,13,12,8,7,4,0,0,0,0,2,136,30,0,26,21,0,0,0,58,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,174,8,239,15,5,15,1,89,71,27,0,4,1,16,2,26,2,0,0,5,35,41,89,26,16,31,0,0,6,39,6,18,20,9,7,8,3,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,20,21,9,9,0,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,16,13,10,15,11,10,29,10,12,50,10,13,21,4,4,3,12,6,4,0,0,0,0,0,0,6,34,1,89,71,27,6,19,24,2,0,5,227,1,20,25,2,0,3,SANTIAGO IXCUINTLA
