ENTIDAD,DISTRITO,MUNICIPIO,SECCION,POB_TOT,SEXO1,SEXO2,PEDAD,EDAD999,EDQUI01,EDQUI02,EDQUI03,EDQUI04,EDQUI05,EDQUI06,EDQUI07,EDQUI08,EDQUI09,EDQUI10,EDQUI11,EDQUI12,EDQUI13,EDQUI14,EDQUI15,EDQUI16,EDQUI17,EDQUI18,EDQUI19,EDQUI20,EDQUI21,EDQUI99,IMSS1,ISSSTE1,PEMEX1,SEGU_POP1,INST_PRI1,OTRA_INS1,OTRA_INS3,OTRA_INS9,SIN_DERE6,SIN_DERE9,LRE200001,LRE200002,LRE200003,LRE200004,LRE200005,LRE200006,LRE200007,LRE200008,LRE200009,LRE200010,LRE200011,LRE200012,LRE200013,LRE200014,LRE200015,LRE200016,LRE200017,LRE200018,LRE200019,LRE200020,LRE200021,LRE200022,LRE200023,LRE200024,LRE200025,LRE200026,LRE200027,LRE200028,LRE200029,LRE200030,LRE200031,LRE200032,LRE200033,LRE2000201,LRE2000600,LRE2000999,ASIS_ESC1,ASIS_ESC2,ASIS_ESC9,ALFABET1,ALFABET2,ALFABET9,NIVANTES00,NIVANTES10,NIVANTES20,NIVANTES30,NIVANTES40,NIVANTES51,NIVANTES52,NIVANTES61,NIVANTES62,NIVANTES63,NIVANTES73,NIVANTES84,NIVANTES94,NIVANTES95,NIVANTES99,GRA_APRO1,GRA_APRO2,GRA_APRO3,GRA_APRO4,GRA_APRO5,GRA_APRO6,GRA_APRO7,GRA_APRO8,GRA_APRO9,NUHINAVI00,NUHINAVI01,NUHINAVI02,NUHINAVI03,NUHINAVI04,NUHINAVI05,NUHINAVI06,NUHINAVI07,NUHINAVI08,NUHINAVI09,NUHINAVI10,NUHINAVI11,NUHINAVI12,NUHINAVI13,NUHINAVI14,NUHINAVI15,NUHINAVI16,NUHINAVI17,NUHINAVI18,NUHINAVI19,NUHINAVI20,NUHINAVI21,NUHINAVI22,NUHINAVI23,NUHINAVI24,NUHINAVI25,NUHINAVI99,NUHISOB00,NUHISOB01,NUHISOB02,NUHISOB03,NUHISOB04,NUHISOB05,NUHISOB06,NUHISOB07,NUHISOB08,NUHISOB09,NUHISOB10,NUHISOB11,NUHISOB12,NUHISOB13,NUHISOB14,NUHISOB15,NUHISOB16,NUHISOB17,NUHISOB18,NUHISOB19,NUHISOB20,NUHISOB21,NUHISOB23,NUHISOB99,TAM_LOC01,TAM_LOC02,TAM_LOC03,TAM_LOC04,TAM_LOC05,TAM_LOC06,TAM_LOC07,TAM_LOC08,TAM_LOC09,TAM_LOC10,TAM_LOC11,TAM_LOC13,TAM_LOC14,ESC_ACUM00,ESC_ACUM01,ESC_ACUM02,ESC_ACUM03,ESC_ACUM04,ESC_ACUM05,ESC_ACUM06,ESC_ACUM07,ESC_ACUM08,ESC_ACUM09,ESC_ACUM10,ESC_ACUM11,ESC_ACUM12,ESC_ACUM13,ESC_ACUM14,ESC_ACUM15,ESC_ACUM16,ESC_ACUM17,ESC_ACUM18,ESC_ACUM19,ESC_ACUM20,ESC_ACUM21,ESC_ACUM22,ESC_ACUM23,ESC_ACUM24,ESC_ACUM99,NIV_ESCO00,NIV_ESCO01,NIV_ESCO02,NIV_ESCO03,NIV_ESCO04,NIV_ESCO05,NIV_ESCO06,NIV_ESCO07,NIV_ESCO08,NIV_ESCO09,NIV_ESCO99,ANT_ESCO1,ANT_ESCO2,ANT_ESCO3,ANT_ESCO4,ANT_ESCO5,ANT_ESCO9,NOM_MUN
22,2,1,6,1179,556,623,27.25,7,137,147,175,120,106,90,55,59,46,45,44,42,37,24,18,16,6,3,1,1,0,7,15,60,0,29,0,0,0,0,1057,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,0,0,0,0,0,0,0,0,0,0,0,1,0,12,273,730,39,812,221,9,145,37,648,135,10,0,0,0,3,0,3,0,0,0,61,98,74,200,58,53,346,0,0,68,173,42,33,32,18,16,10,19,14,12,14,13,9,5,2,2,2,0,1,0,0,0,0,0,0,0,23,0,42,35,32,20,17,11,22,18,14,15,7,3,3,2,0,1,1,0,0,0,0,0,1,33,0,1146,0,0,0,0,0,0,0,0,0,0,182,38,54,95,58,53,346,13,17,102,8,1,3,1,2,0,0,0,0,0,0,0,0,0,0,69,282,37,648,135,10,0,4,3,0,0,60,0,3,2,0,0,2,AMEALCO DE BONFIL
22,2,1,9,2124,999,1125,27.08,1,266,283,288,236,191,134,137,122,86,59,81,56,55,40,36,27,23,2,1,0,0,1,14,0,0,724,3,0,0,0,1375,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,1836,0,0,0,0,0,0,0,0,0,0,0,6,0,8,511,1335,12,1411,440,7,356,87,1047,333,12,0,0,0,3,0,1,0,0,0,19,238,209,437,117,85,394,0,0,22,341,47,77,50,35,25,37,28,26,22,30,13,18,16,5,4,5,0,0,0,0,0,0,0,0,0,17,3,48,80,50,36,35,38,26,32,28,25,11,17,5,2,2,0,0,0,0,0,0,0,0,0,0,0,2124,0,0,0,0,0,0,0,0,0,443,93,145,214,116,85,394,55,59,216,3,5,7,0,0,0,1,0,0,0,0,0,0,0,0,22,622,87,1047,333,12,0,3,1,0,0,19,0,3,1,0,0,0,AMEALCO DE BONFIL
22,2,1,8,1337,638,699,31.39,2,152,153,171,143,138,89,90,66,72,54,56,32,31,27,28,16,9,5,0,3,0,2,112,3,0,460,5,0,0,0,751,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,0,0,0,0,0,0,0,0,0,0,0,9,0,3,332,843,10,970,212,3,199,56,642,225,35,0,0,0,0,1,4,0,0,0,23,148,109,305,63,55,289,0,0,17,211,44,49,36,26,21,17,18,18,18,8,12,7,8,3,2,2,0,0,0,0,0,0,0,0,0,9,0,48,50,34,30,26,19,21,17,18,7,8,6,4,0,1,0,0,0,0,0,0,0,0,21,0,1316,0,0,0,0,0,0,0,0,0,0,255,50,73,114,62,54,289,23,31,169,15,2,18,0,1,2,1,1,0,0,0,0,0,0,0,25,351,56,642,225,35,8,1,4,0,0,15,0,0,4,0,0,9,AMEALCO DE BONFIL
22,2,1,10,1455,679,776,28.32,8,154,178,192,146,95,103,89,84,71,62,50,50,46,43,36,21,13,9,1,4,0,8,108,0,0,573,16,0,0,0,738,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1286,0,0,0,0,0,0,0,0,0,0,0,2,0,13,360,930,11,1039,252,10,233,55,716,236,32,0,0,1,2,2,4,0,0,0,20,154,137,299,78,48,330,0,0,22,226,46,42,50,31,30,26,26,15,9,16,14,7,5,5,3,4,1,0,1,0,0,0,0,0,0,12,1,46,47,47,36,32,27,24,15,13,16,10,6,3,2,3,1,1,0,0,0,0,0,1,78,167,478,732,0,0,0,0,0,0,0,0,0,288,49,97,114,78,47,330,40,32,164,9,7,17,1,1,3,0,1,0,0,0,0,0,0,0,23,387,55,716,236,32,0,6,4,0,0,19,1,2,3,0,0,4,AMEALCO DE BONFIL
22,2,1,11,1337,644,693,32.62,11,155,156,179,128,108,108,108,94,66,44,43,29,36,22,21,15,8,3,2,0,1,11,289,78,1,139,16,0,0,0,794,20,0,0,1,0,0,0,0,0,10,0,1,0,0,0,3,13,0,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,4,0,12,325,840,17,1046,123,13,78,53,642,248,68,0,3,0,6,4,42,0,1,0,37,150,115,336,85,52,331,3,0,32,190,58,54,52,45,15,16,8,8,9,8,7,11,5,2,1,0,0,0,0,0,0,0,0,0,0,24,0,60,56,51,44,16,15,10,10,10,7,7,8,2,0,0,0,0,0,0,0,0,0,3,71,122,378,766,0,0,0,0,0,0,0,0,0,131,38,70,100,64,42,327,34,27,186,20,14,41,5,4,5,18,9,4,3,0,0,1,0,0,39,233,53,642,248,68,7,15,40,0,1,30,0,9,22,1,0,31,AMEALCO DE BONFIL
22,2,1,13,1561,743,818,35.51,1,141,195,187,163,113,98,108,102,78,46,58,50,55,56,46,32,19,8,4,1,0,1,153,29,15,254,33,2,0,0,1078,1,0,1,0,0,0,0,0,7,16,0,0,0,0,0,18,8,0,0,0,0,0,1361,0,0,0,0,0,0,0,0,0,0,0,7,0,2,440,977,3,1105,314,1,204,68,715,368,52,0,0,0,1,3,3,0,0,0,6,181,160,432,61,64,309,0,0,9,245,45,61,44,28,34,28,20,25,22,22,10,8,9,3,2,1,1,2,0,1,0,1,0,0,0,3,0,51,63,47,30,32,36,22,20,27,17,6,10,3,2,0,1,0,0,0,0,0,0,0,0,95,838,628,0,0,0,0,0,0,0,0,0,272,63,111,107,59,64,309,35,43,289,14,5,34,1,1,2,2,0,0,0,0,0,0,0,0,9,345,68,715,368,52,2,4,1,0,0,6,0,1,6,0,0,0,AMEALCO DE BONFIL
22,2,1,12,970,497,473,31.96,0,106,111,123,108,73,55,69,61,43,34,32,32,22,28,30,17,19,3,3,1,0,0,202,6,14,212,0,0,0,0,533,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,854,0,0,0,0,0,0,0,0,0,0,0,0,0,1,249,611,4,703,161,0,128,43,463,196,24,0,0,0,4,1,3,0,0,0,2,111,92,233,42,37,217,0,0,4,118,27,42,35,24,15,17,14,7,15,8,9,8,5,1,2,1,0,2,0,1,0,0,0,0,0,4,1,28,43,36,27,15,17,16,14,15,6,5,4,3,1,1,0,0,0,0,0,0,0,1,23,66,881,0,0,0,0,0,0,0,0,0,0,171,32,58,77,40,37,217,25,28,143,10,6,12,1,0,1,2,0,0,0,0,0,0,0,0,4,234,43,463,196,24,0,5,3,0,0,2,0,4,4,0,0,0,AMEALCO DE BONFIL
22,2,1,15,2456,1212,1244,21.33,1,346,390,365,289,222,173,139,114,91,76,51,49,54,34,24,16,15,7,0,0,0,1,59,24,6,649,8,0,0,0,1703,8,0,0,0,0,0,0,0,1,5,1,0,0,3,0,10,0,0,0,0,0,0,2082,0,0,0,0,0,0,0,0,0,0,0,4,0,4,717,1386,7,1475,634,1,452,135,1129,342,32,0,0,0,2,0,3,0,0,0,15,315,212,464,124,144,381,0,0,18,277,66,76,72,62,48,33,38,29,30,24,10,15,5,3,1,0,1,1,0,0,0,0,0,0,0,20,3,72,80,83,62,56,41,38,24,22,13,10,5,3,0,0,1,0,0,0,0,0,0,1,0,0,316,812,1328,0,0,0,0,0,0,0,0,587,110,157,215,119,144,381,54,53,234,15,2,17,1,0,0,2,0,0,0,0,0,0,0,0,19,798,135,1129,342,32,2,3,1,0,0,14,0,2,3,0,0,1,AMEALCO DE BONFIL
22,2,1,19,4170,2058,2112,19.79,5,694,703,711,447,335,263,260,190,123,104,104,73,48,34,35,21,16,2,2,0,0,5,45,52,2,969,1,0,0,0,3093,9,0,0,0,0,0,0,0,0,18,0,0,0,0,0,6,0,0,0,0,0,2,3436,0,0,0,0,0,0,0,0,0,0,0,5,0,9,1332,2137,7,2442,1028,6,745,51,1998,446,62,0,0,0,0,2,26,2,0,0,41,445,441,637,278,252,617,0,0,61,469,89,91,88,92,76,69,49,53,42,48,23,31,5,10,3,2,0,0,0,0,0,0,0,0,0,54,3,95,107,106,93,94,66,54,61,37,26,6,3,4,1,0,0,0,0,0,0,0,0,0,0,76,270,0,1003,0,2821,0,0,0,0,0,0,899,56,93,361,90,87,617,96,98,244,13,17,31,6,3,5,10,2,1,0,0,0,0,0,0,63,1439,51,700,446,62,21,2,7,2,0,39,0,0,27,2,0,3,AMEALCO DE BONFIL
22,2,1,22,2255,1056,1199,26.78,0,285,290,345,242,161,137,131,130,86,86,82,68,45,40,42,31,25,19,7,2,1,0,84,14,1,696,24,0,0,0,1465,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,1945,0,0,0,0,0,0,0,0,0,0,0,2,0,3,652,1315,3,1494,475,1,342,63,1084,388,72,0,0,0,2,1,9,0,0,0,9,254,237,472,145,94,408,1,0,17,259,65,72,65,60,38,35,35,24,30,34,20,18,7,4,5,0,0,1,0,1,0,0,0,0,0,60,4,71,83,67,67,41,39,45,25,29,20,13,7,2,1,0,0,0,0,0,0,0,0,0,0,0,1171,0,1084,0,0,0,0,0,0,0,0,405,107,155,178,143,92,407,62,65,257,21,17,34,1,0,4,1,2,1,1,0,0,0,0,0,17,627,63,1084,388,72,2,3,7,0,0,9,0,2,10,0,0,0,AMEALCO DE BONFIL
22,2,1,26,1720,805,915,31.28,0,189,227,230,189,143,89,89,100,83,86,61,48,52,32,32,26,28,11,2,3,0,0,60,30,1,595,0,0,0,0,1032,3,0,0,0,0,0,1,0,0,8,0,3,0,0,0,18,0,0,0,0,0,0,1494,0,0,0,1,0,0,0,0,0,0,0,5,0,1,503,1027,1,1236,293,2,205,86,844,338,38,0,0,0,2,2,11,0,1,0,4,245,183,402,93,80,316,0,0,7,212,60,68,43,33,49,26,26,25,17,18,10,20,12,4,4,3,1,0,1,1,0,0,0,1,0,22,2,68,63,52,47,42,30,26,25,18,17,18,5,4,2,0,0,1,1,0,0,0,0,1,57,0,1663,0,0,0,0,0,0,0,0,0,0,291,93,127,140,87,80,315,47,47,242,16,7,17,3,1,2,6,0,1,0,1,0,0,0,0,8,394,86,844,338,38,8,5,3,0,1,3,0,2,12,0,0,3,AMEALCO DE BONFIL
